date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:18	97764/97764	---M-Z	200	added ('OK')	text/html	etag:%2217de4-685a7c66-1bac5f0d55079dbb;gz%22	https://html.ditsolution.net/leadership/index.html	D:/demo2/html.ditsolution.net/leadership/index.html	(from )
17:14:18	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6807e588-26f50cc60b96bf42;gz%22	https://html.ditsolution.net/robots.txt		(from )
17:14:18	1029/1029	---M--	200	added ('OK')	image/png	etag:%22405-685a7c72-1de77c72da255e25;;;%22	https://html.ditsolution.net/leadership/assets/images/fav-icon/icon.png	D:/demo2/html.ditsolution.net/leadership/assets/images/fav-icon/icon.png	(from https://html.ditsolution.net/leadership/index.html)
17:14:19	161409/161409	---M-Z	200	added ('OK')	text/css	etag:%2227681-685a7c74-6a45482e1447f5ba;gz%22	https://html.ditsolution.net/leadership/assets/css/bootstrap.min.css	D:/demo2/html.ditsolution.net/leadership/assets/css/bootstrap.min.css	(from https://html.ditsolution.net/leadership/index.html)
17:14:19	7604/7604	---M-Z	200	added ('OK')	text/css	etag:%221db4-685a7c67-8124ec53a49e0fae;gz%22	https://html.ditsolution.net/leadership/venobox/venobox.css	D:/demo2/html.ditsolution.net/leadership/venobox/venobox.css	(from https://html.ditsolution.net/leadership/index.html)
17:14:19	1186/1186	---M-Z	200	added ('OK')	text/css	etag:%224a2-685a7c74-a62a14739e50443a;gz%22	https://html.ditsolution.net/leadership/assets/css/nivo-slider.css	D:/demo2/html.ditsolution.net/leadership/assets/css/nivo-slider.css	(from https://html.ditsolution.net/leadership/index.html)
17:14:19	17397/17397	---M-Z	200	added ('OK')	text/css	etag:%2243f5-685a7c74-632f74ab5fc2123e;gz%22	https://html.ditsolution.net/leadership/assets/css/animate.css	D:/demo2/html.ditsolution.net/leadership/assets/css/animate.css	(from https://html.ditsolution.net/leadership/index.html)
17:14:20	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-685a7c74-990a382e1a6aecb9;gz%22	https://html.ditsolution.net/leadership/assets/css/slick.css	D:/demo2/html.ditsolution.net/leadership/assets/css/slick.css	(from https://html.ditsolution.net/leadership/index.html)
17:14:20	3037/3037	---M-Z	200	added ('OK')	text/css	etag:%22bdd-685a7c74-c9b5ff5c4d8fcb24;gz%22	https://html.ditsolution.net/leadership/assets/css/owl.carousel.css	D:/demo2/html.ditsolution.net/leadership/assets/css/owl.carousel.css	(from https://html.ditsolution.net/leadership/index.html)
17:14:20	4476/4476	---M-Z	200	added ('OK')	text/css	etag:%22117c-685a7c74-e1281c3779fb9244;gz%22	https://html.ditsolution.net/leadership/assets/css/owl.transitions.css	D:/demo2/html.ditsolution.net/leadership/assets/css/owl.transitions.css	(from https://html.ditsolution.net/leadership/index.html)
